CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
110080.0,1.0,11.0,DAVIS,60149.0
110081.0,1.0,11.0,DAVIS,71065.0
110082.0,1.0,11.0,DAVIS,93625.0
110083.0,1.0,11.0,DAVIS,44278.0
110084.0,1.0,11.0,DAVIS,91753.0
110085.0,1.0,11.0,DAVIS,111373.0
110086.0,1.0,11.0,DAVIS,167850.0
110087.0,1.0,11.0,DAVIS,167850.0
110088.0,1.0,11.0,DAVIS,112994.0
110089.0,1.0,11.0,DAVIS,163068.0
110090.0,1.0,11.0,DAVIS,167332.0
110091.0,1.0,11.0,DAVIS,124043.0
110092.0,1.0,11.0,DAVIS,140095.0
110093.0,1.0,11.0,DAVIS,167208.0
110094.0,1.0,11.0,DAVIS,100727.0
110095.0,1.0,11.0,DAVIS,162435.0
110096.0,1.0,11.0,DAVIS,162435.0
110097.0,1.0,11.0,DAVIS,91937.0
110098.0,1.0,11.0,DAVIS,128804.0
110099.0,1.0,11.0,DAVIS,126148.0
110100.0,1.0,11.0,DAVIS,132793.0
110101.0,1.0,11.0,DAVIS,127938.0
110102.0,1.0,11.0,DAVIS,162435.0
110103.0,1.0,11.0,DAVIS,91937.0
110104.0,1.0,11.0,DAVIS,109046.0
110105.0,1.0,11.0,DAVIS,135625.0
110106.0,1.0,11.0,DAVIS,152515.0
110107.0,1.0,11.0,DAVIS,91937.0
110108.0,1.0,11.0,DAVIS,162435.0
110109.0,1.0,11.0,DAVIS,88409.0
110110.0,1.0,11.0,DAVIS,88409.0
110111.0,1.0,11.0,DAVIS,166326.0
110112.0,1.0,11.0,DAVIS,74172.0
110113.0,1.0,11.0,DAVIS,50091.0
110114.0,1.0,11.0,DAVIS,114341.0
110115.0,1.0,11.0,DAVIS,114341.0
110116.0,1.0,11.0,DAVIS,120938.0
110117.0,1.0,11.0,DAVIS,136283.0
110118.0,1.0,11.0,DAVIS,126875.0
110119.0,1.0,11.0,DAVIS,83698.0
110120.0,1.0,11.0,DAVIS,99063.0
110121.0,1.0,11.0,DAVIS,65390.0
110122.0,1.0,11.0,DAVIS,63354.0
110123.0,1.0,11.0,DAVIS,82933.0
